,registros,porcentaje_WA
Kittitas / Kittitas,6,0.0033807197552358894
Douglas / Waterville,6,0.0033807197552358894
Pierce / Pacific,6,0.0033807197552358894
Pend Oreille / Elk,6,0.0033807197552358894
Pacific / South Bend,6,0.0033807197552358894
Pierce / Ashford,6,0.0033807197552358894
Clallam / Neah Bay,6,0.0033807197552358894
Lewis / Randle,6,0.0033807197552358894
Franklin / Eltopia,6,0.0033807197552358894
Franklin / Othello,6,0.0033807197552358894
Pacific / Tokeland,6,0.0033807197552358894
Pacific / Oysterville,6,0.0033807197552358894
Kittitas / Thorp,6,0.0033807197552358894
Lincoln / Reardan,6,0.0033807197552358894
Yakima / Cowiche,5,0.0028172664626965748
Grant / Electric City,5,0.0028172664626965748
Lincoln / Odessa,5,0.0028172664626965748
Grant / Warden,5,0.0028172664626965748
Spokane / Rockford,5,0.0028172664626965748
Spokane / Mica,5,0.0028172664626965748
Whitman / Tekoa,5,0.0028172664626965748
Lewis / Salkum,5,0.0028172664626965748
Grant / Othello,5,0.0028172664626965748
Stevens / Rice,5,0.0028172664626965748
Klickitat / Bz Corner,5,0.0028172664626965748
Pend Oreille / Cusick,5,0.0028172664626965748
Franklin / Mesa,5,0.0028172664626965748
Pierce / Wilkeson,5,0.0028172664626965748
Skamania / White Salmon,5,0.0028172664626965748
Kittitas / South Cle Elum,5,0.0028172664626965748
Snohomish / Index,4,0.0022538131701572597
Skagit / Clearlake,4,0.0022538131701572597
Whitman / Uniontown,4,0.0022538131701572597
Spokane / Edwall,4,0.0022538131701572597
Lewis / Glenoma,4,0.0022538131701572597
King / Snoqualmie Pass,4,0.0022538131701572597
Wahkiakum / Skamokawa,4,0.0022538131701572597
San Juan / Orcas,4,0.0022538131701572597
Lincoln / Grand Coulee,4,0.0022538131701572597
Okanogan / Carlton,4,0.0022538131701572597
Lincoln / Lincoln,4,0.0022538131701572597
Pacific / Nahcotta,4,0.0022538131701572597
Snohomish / Tulalip,3,0.0016903598776179447
Okanogan / Riverside,3,0.0016903598776179447
Pend Oreille / Usk,3,0.0016903598776179447
San Juan / Lopez Is,3,0.0016903598776179447
Douglas / Bridgeport Bar,3,0.0016903598776179447
Grant / Grand Coulee,3,0.0016903598776179447
Klickitat / Wahkiacus,3,0.0016903598776179447
King / Baring,3,0.0016903598776179447
Grays Harbor / Copalis Crossing,3,0.0016903598776179447
Wahkiakum / Naselle,3,0.0016903598776179447
Grays Harbor / Quinault,3,0.0016903598776179447
Clallam / Sekiu,3,0.0016903598776179447
Pacific / Chinook,3,0.0016903598776179447
Grant / Marlin,3,0.0016903598776179447
Franklin / Pasc,3,0.0016903598776179447
Grays Harbor / Moclips,3,0.0016903598776179447
Pierce / Elbe,3,0.0016903598776179447
Douglas / Bridgeport,3,0.0016903598776179447
Garfield / Pomeroy,3,0.0016903598776179447
Lincoln / Seven Bays,3,0.0016903598776179447
Grays Harbor / Copalis Beach,3,0.0016903598776179447
Grays Harbor / Amanda Park,3,0.0016903598776179447
Lincoln / Harrington,3,0.0016903598776179447
Whitman / Lamont,2,0.0011269065850786299
Whitman / Endicott,2,0.0011269065850786299
Skagit / Rockport,2,0.0011269065850786299
Pend Oreille / Ione,2,0.0011269065850786299
San Juan / Waldron,2,0.0011269065850786299
Grays Harbor / Taholah,2,0.0011269065850786299
Pierce / South Prairie,2,0.0011269065850786299
Lewis / Cinebar,2,0.0011269065850786299
Ferry / Inchelium,2,0.0011269065850786299
Grays Harbor / Satsop,2,0.0011269065850786299
Stevens / Ford,2,0.0011269065850786299
Whitman / St John,2,0.0011269065850786299
Pacific / Bay Center,2,0.0011269065850786299
Whitman / Oakesdale,2,0.0011269065850786299
Douglas / Coulee City,2,0.0011269065850786299
Stevens / Hunters,2,0.0011269065850786299
Douglas / Grand Coulee,2,0.0011269065850786299
Okanogan / Elmer City,2,0.0011269065850786299
Douglas / Palisades,2,0.0011269065850786299
Pierce / Artondale,2,0.0011269065850786299
Douglas / Mansfield,2,0.0011269065850786299
Whitman / Colton,2,0.0011269065850786299
Okanogan / Coulee Dam,2,0.0011269065850786299
Cowlitz / Cougar,2,0.0011269065850786299
Grant / Hartline,2,0.0011269065850786299
Okanogan / Methow,2,0.0011269065850786299
Spokane / Waverly,2,0.0011269065850786299
Pierce / Incorporated,2,0.0011269065850786299
Lincoln / Deer Meadows,2,0.0011269065850786299
Stevens / Addy,2,0.0011269065850786299
Wahkiakum / Grays River,2,0.0011269065850786299
Klickitat / Roosevelt,2,0.0011269065850786299
Skagit / Marblemount,2,0.0011269065850786299
Douglas / Coulee Dam,2,0.0011269065850786299
Stevens / Clayton,2,0.0011269065850786299
Klickitat / Centerville,2,0.0011269065850786299
Kitsap / Port Gamble,2,0.0011269065850786299
Benton / Grandview,2,0.0011269065850786299
Adams / Lind,2,0.0011269065850786299
Stevens / Springdale,2,0.0011269065850786299
Spokane / Rosalia,2,0.0011269065850786299
Klickitat / Murdock,2,0.0011269065850786299
Stevens / Northport,2,0.0011269065850786299
Grant / Lakeview,2,0.0011269065850786299
Thurston / Bucoda,1,0.0005634532925393149
Jefferson / Forks,1,0.0005634532925393149
Kitsap / Gig Harbor,1,0.0005634532925393149
Kittitas / Vantage,1,0.0005634532925393149
Clallam / Clallam Bay,1,0.0005634532925393149
Okanogan / Malott,1,0.0005634532925393149
Wahkiakum / Rosburg,1,0.0005634532925393149
Pierce / Kapowsin,1,0.0005634532925393149
Skagit / Darrington,1,0.0005634532925393149
Adams / Hatton,1,0.0005634532925393149
Chelan / Dryden,1,0.0005634532925393149
Spokane / Latah,1,0.0005634532925393149
Lincoln / Sprague,1,0.0005634532925393149
Stevens / Gifford,1,0.0005634532925393149
Lewis / Pe Ell,1,0.0005634532925393149
Klickitat / Glenwood,1,0.0005634532925393149
Adams / Washtucna,1,0.0005634532925393149
Snohomish / Shoreline,1,0.0005634532925393149
San Juan / Deer Harbor,1,0.0005634532925393149
Klickitat / Alderdale,1,0.0005634532925393149
Stevens / Wellpinit,1,0.0005634532925393149
Clallam / Bell Hill,1,0.0005634532925393149
Yakima / Prosser,1,0.0005634532925393149
Ferry / Danville,1,0.0005634532925393149
Benton / Rich,1,0.0005634532925393149
Cowlitz / Silver Lake,1,0.0005634532925393149
Snohomish / Startup,1,0.0005634532925393149
Benton / Pros,1,0.0005634532925393149
Kitsap / Bangor Base,1,0.0005634532925393149
Grant / Stratford,1,0.0005634532925393149
Benton / Plymouth,1,0.0005634532925393149
Walla Walla / Walla Walla Co,1,0.0005634532925393149
Lincoln / Creston,1,0.0005634532925393149
Skagit / Hamilton,1,0.0005634532925393149
Ferry / Keller,1,0.0005634532925393149
Okanogan / Chelan,1,0.0005634532925393149
Skagit / Lyman,1,0.0005634532925393149
King / Gold Bar,1,0.0005634532925393149
Lincoln / Ford,1,0.0005634532925393149
Benton / Paterson,1,0.0005634532925393149
Whitman / Lacrosse,1,0.0005634532925393149
Pierce / Home,1,0.0005634532925393149
Spokane / Reardan,1,0.0005634532925393149
Pacific / Lebam,1,0.0005634532925393149
Clallam / Beaver,1,0.0005634532925393149
Yakima / White Swan,1,0.0005634532925393149
Lewis / Adna,1,0.0005634532925393149
Skamania / Bingen,1,0.0005634532925393149
Pacific / Frances,1,0.0005634532925393149
San Juan / San Juan Is,1,0.0005634532925393149
Thurston / Oakville,1,0.0005634532925393149
Stevens / Tumtum,1,0.0005634532925393149
Lincoln / Almira,1,0.0005634532925393149
Okanogan / Nespelem,1,0.0005634532925393149
Snohomish / Alderwood Manor,1,0.0005634532925393149
Klickitat / Klickitat,1,0.0005634532925393149
Kitsap / Belfair,1,0.0005634532925393149
Klickitat / Maryhill,1,0.0005634532925393149
Pierce / Prairie Ridge,1,0.0005634532925393149
